variant,tag,test_year,accuracy,balanced_accuracy,macro_f1,weighted_f1,n_train,n_test,random_state,cm_00,cm_01,cm_02,cm_10,cm_11,cm_12,cm_20,cm_21,cm_22,precision_0,recall_0,f1_0,support_0,precision_1,recall_1,f1_1,support_1,precision_2,recall_2,f1_2,support_2,report_accuracy,macro_precision,macro_recall,macro_support,weighted_precision,weighted_recall,weighted_support,delta_macro_f1_vs_with_ids
Random Forest (WITH IDs),with_ids,2023,0.5840909090909091,0.532767131242741,0.5324338993846057,0.5555185375744262,880,440,42,61,50,1,29,166,10,12,81,30,0.5980392156862745,0.5446428571428571,0.5700934579439252,112.0,0.5589225589225589,0.8097560975609757,0.6613545816733067,205.0,0.7317073170731707,0.24390243902439024,0.36585365853658536,123.0,0.5840909090909091,0.6295563638940014,0.532767131242741,440.0,0.6171807198545167,0.5840909090909091,440.0,0.0
Random Forest (NO IDs),no_ids,2023,0.575,0.5408875338753387,0.548474380882816,0.5621456019624721,880,440,42,63,47,2,40,149,16,6,76,41,0.5779816513761468,0.5625,0.5701357466063348,112.0,0.5477941176470589,0.7268292682926829,0.6247379454926625,205.0,0.6949152542372882,0.3333333333333333,0.45054945054945056,123.0,0.575,0.6068970077534979,0.5408875338753387,440.0,0.5966052621430954,0.575,440.0,0.016040481498210246
