driverId,team_name,p_under,p_neutral,p_over,mc_prob_under,mc_prob_neutral,mc_prob_over
815,Red Bull       ,0.056666666666666664,0.8166666666666667,0.12666666666666668,0.0579,0.8177,0.1244
830,Red Bull       ,0.03666666666666667,0.78,0.18333333333333332,0.0369,0.7789,0.1842
844,Ferrari        ,0.03,0.5066666666666667,0.4633333333333333,0.0316,0.5042,0.4642
4,Aston Martin   ,0.11,0.6266666666666667,0.2633333333333333,0.1095,0.6253,0.2652
832,Ferrari        ,0.03333333333333333,0.5933333333333334,0.37333333333333335,0.0325,0.5964,0.3711
1,Mercedes       ,0.07666666666666666,0.7866666666666666,0.13666666666666666,0.0764,0.7858,0.1378
840,Aston Martin   ,0.27666666666666667,0.58,0.14333333333333334,0.2721,0.5843,0.1436
847,Mercedes       ,0.61,0.32666666666666666,0.06333333333333334,0.6052,0.3279,0.0669
846,McLaren        ,0.14333333333333334,0.6133333333333333,0.24333333333333335,0.1444,0.6205,0.2351
852,AlphaTauri     ,0.10666666666666667,0.36666666666666664,0.5266666666666666,0.1099,0.3648,0.5253
857,McLaren        ,0.23333333333333334,0.42333333333333334,0.3433333333333333,0.2274,0.4279,0.3447
848,Williams       ,0.22,0.5333333333333333,0.24666666666666667,0.2204,0.5334,0.2462
825,Haas F1 Team   ,0.17666666666666667,0.5966666666666667,0.22666666666666666,0.1821,0.596,0.2219
842,Alpine F1 Team ,0.6366666666666667,0.22666666666666666,0.13666666666666666,0.6412,0.2243,0.1345
839,Alpine F1 Team ,0.04666666666666667,0.4166666666666667,0.5366666666666666,0.0445,0.4263,0.5292
858,Williams       ,0.27666666666666667,0.47333333333333333,0.25,0.2676,0.4744,0.258
807,Haas F1 Team   ,0.016666666666666666,0.3333333333333333,0.65,0.0171,0.3334,0.6495
822,Alfa Romeo     ,0.37,0.4766666666666667,0.15333333333333332,0.3818,0.4659,0.1523
855,Alfa Romeo     ,0.36333333333333334,0.4766666666666667,0.16,0.3682,0.4694,0.1624
856,AlphaTauri     ,0.5366666666666666,0.35333333333333333,0.11,0.5432,0.3511,0.1057
