baseline,tag,test_year,accuracy,balanced_accuracy,macro_f1,weighted_f1,n_train,n_test,random_state,cm_00,cm_01,cm_02,cm_10,cm_11,cm_12,cm_20,cm_21,cm_22,precision_0,recall_0,f1_0,support_0,precision_1,recall_1,f1_1,support_1,precision_2,recall_2,f1_2,support_2,report_accuracy,macro_precision,macro_recall,macro_support,weighted_precision,weighted_recall,weighted_support
Baseline B (grid + constructor),B_grid_constructor,2023,0.5181818181818182,0.5757162214479288,0.5233560431606034,0.496481708844901,880,440,42,90,16,6,50,61,94,21,25,77,0.5590062111801242,0.8035714285714286,0.6593406593406593,112.0,0.5980392156862745,0.2975609756097561,0.3973941368078176,205.0,0.4350282485875706,0.6260162601626016,0.5133333333333333,123.0,0.5181818181818182,0.530691225151323,0.5757162214479288,440.0,0.5425345669184803,0.5181818181818182,440.0
Baseline A (grid + year),A_grid_year,2023,0.42272727272727273,0.48445121951219505,0.4255072040503098,0.389707121355138,880,440,42,77,25,10,57,37,111,25,26,72,0.48427672955974843,0.6875,0.5682656826568265,112.0,0.42045454545454547,0.18048780487804877,0.2525597269624573,205.0,0.37305699481865284,0.5853658536585366,0.45569620253164556,123.0,0.42272727272727273,0.42592942327764893,0.48445121951219505,440.0,0.4234504224808362,0.42272727272727273,440.0
