p_over_bin,n,mean_p_over,observed_over_rate,calibration_gap
"(0.0383, 0.176]",29,0.1068965517241379,0.1724137931034483,-0.06551724137931039
"(0.176, 0.312]",26,0.24141025641025637,0.15384615384615385,0.08756410256410252
"(0.312, 0.448]",13,0.3556410256410256,0.3076923076923077,0.04794871794871791
"(0.448, 0.584]",9,0.4977777777777777,0.3333333333333333,0.1644444444444444
"(0.584, 0.72]",3,0.6711111111111111,1.0,-0.3288888888888889
