scenario,year,round,driverId,team_name,p_under,p_neutral,p_over,pred_class,pred_label_name,label,true_label_name,correct
austrian_2023_perm_wet,2023,9,844,Ferrari        ,0.0433333333333333,0.5966666666666667,0.36,1,neutral,1,neutral,1
austrian_2023_perm_wet,2023,9,815,Red Bull       ,0.59,0.2066666666666666,0.2033333333333333,0,under,0,under,1
austrian_2023_perm_wet,2023,9,846,McLaren        ,0.0666666666666666,0.4733333333333333,0.46,1,neutral,1,neutral,1
austrian_2023_perm_wet,2023,9,4,Aston Martin   ,0.22,0.4766666666666667,0.3033333333333333,1,neutral,1,neutral,1
austrian_2023_perm_wet,2023,9,832,Ferrari        ,0.0533333333333333,0.57,0.3766666666666666,1,neutral,2,over,0
austrian_2023_perm_wet,2023,9,847,Mercedes       ,0.6133333333333333,0.3133333333333333,0.0733333333333333,0,under,0,under,1
austrian_2023_perm_wet,2023,9,1,Mercedes       ,0.0566666666666666,0.7866666666666666,0.1566666666666666,1,neutral,2,over,0
austrian_2023_perm_wet,2023,9,840,Aston Martin   ,0.11,0.58,0.31,1,neutral,2,over,0
austrian_2023_perm_wet,2023,9,842,Alpine F1 Team ,0.18,0.5166666666666667,0.3033333333333333,1,neutral,1,neutral,1
austrian_2023_perm_wet,2023,9,848,Williams       ,0.12,0.54,0.34,1,neutral,1,neutral,1
austrian_2023_perm_wet,2023,9,855,Alfa Romeo     ,0.54,0.3733333333333333,0.0866666666666666,0,under,0,under,1
austrian_2023_perm_wet,2023,9,858,Williams       ,0.4966666666666666,0.4566666666666666,0.0466666666666666,0,under,0,under,1
austrian_2023_perm_wet,2023,9,839,Alpine F1 Team ,0.4666666666666667,0.3866666666666666,0.1466666666666666,0,under,1,neutral,0
austrian_2023_perm_wet,2023,9,822,Alfa Romeo     ,0.3033333333333333,0.4766666666666667,0.22,1,neutral,1,neutral,1
austrian_2023_perm_wet,2023,9,857,McLaren        ,0.2466666666666666,0.55,0.2033333333333333,1,neutral,2,over,0
austrian_2023_perm_wet,2023,9,856,AlphaTauri     ,0.07,0.2866666666666667,0.6433333333333333,2,over,2,over,1
austrian_2023_perm_wet,2023,9,825,Haas F1 Team   ,0.0666666666666666,0.2133333333333333,0.72,2,over,2,over,1
austrian_2023_perm_wet,2023,9,852,AlphaTauri     ,0.2433333333333333,0.45,0.3066666666666666,1,neutral,2,over,0
austrian_2023_perm_wet,2023,9,807,Haas F1 Team   ,0.1066666666666666,0.3833333333333333,0.51,2,over,2,over,1
british_2023_perm_dry,2023,10,830,Red Bull       ,0.09,0.7633333333333333,0.1466666666666666,1,neutral,1,neutral,1
british_2023_perm_dry,2023,10,846,McLaren        ,0.04,0.5166666666666667,0.4433333333333333,1,neutral,1,neutral,1
british_2023_perm_dry,2023,10,1,Mercedes       ,0.4066666666666667,0.4166666666666667,0.1766666666666666,1,neutral,0,under,0
british_2023_perm_dry,2023,10,857,McLaren        ,0.0566666666666666,0.4166666666666667,0.5266666666666666,2,over,1,neutral,0
british_2023_perm_dry,2023,10,847,Mercedes       ,0.24,0.6566666666666666,0.1033333333333333,1,neutral,1,neutral,1
british_2023_perm_dry,2023,10,815,Red Bull       ,0.6466666666666666,0.1433333333333333,0.21,0,under,0,under,1
british_2023_perm_dry,2023,10,4,Aston Martin   ,0.32,0.4233333333333333,0.2566666666666666,1,neutral,1,neutral,1
british_2023_perm_dry,2023,10,848,Williams       ,0.0866666666666666,0.3666666666666666,0.5466666666666666,2,over,1,neutral,0
british_2023_perm_dry,2023,10,844,Ferrari        ,0.0166666666666666,0.6966666666666667,0.2866666666666667,1,neutral,2,over,0
british_2023_perm_dry,2023,10,832,Ferrari        ,0.05,0.61,0.34,1,neutral,2,over,0
british_2023_perm_dry,2023,10,858,Williams       ,0.2,0.5166666666666667,0.2833333333333333,1,neutral,0,under,0
british_2023_perm_dry,2023,10,822,Alfa Romeo     ,0.7,0.25,0.05,0,under,0,under,1
british_2023_perm_dry,2023,10,807,Haas F1 Team   ,0.1466666666666666,0.4033333333333333,0.45,2,over,1,neutral,0
british_2023_perm_dry,2023,10,840,Aston Martin   ,0.5033333333333333,0.37,0.1266666666666666,0,under,1,neutral,0
british_2023_perm_dry,2023,10,855,Alfa Romeo     ,0.5533333333333333,0.39,0.0566666666666666,0,under,1,neutral,0
british_2023_perm_dry,2023,10,852,AlphaTauri     ,0.2966666666666667,0.52,0.1833333333333333,1,neutral,1,neutral,1
british_2023_perm_dry,2023,10,856,AlphaTauri     ,0.43,0.48,0.09,1,neutral,1,neutral,1
british_2023_perm_dry,2023,10,842,Alpine F1 Team ,0.1733333333333333,0.4966666666666666,0.33,1,neutral,2,over,0
british_2023_perm_dry,2023,10,825,Haas F1 Team   ,0.5133333333333333,0.42,0.0666666666666666,0,under,1,neutral,0
british_2023_perm_dry,2023,10,839,Alpine F1 Team ,0.48,0.4033333333333333,0.1166666666666666,0,under,2,over,0
